nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,17,LOCALSEARCH-BFSOPT,10185.7167,10064.6928,9794.6928,150,120,0,6182.002,68562.8495,2.9264,2.5,10064.6928,0.9881,1,0.2,0.364009539,0.973173548,0.014903585,0.011922868,0,0.5736
20,5,2,18,GREEDY,9682.1798,9397.5941,9087.5941,210,100,0,5861.6204,63613.1584,3.3174,3.5,9397.5941,0.9706,0,0,0.217167358,0.967012834,0.022346145,0.010641021,0,1.1826
20,5,2,18,LOCALSEARCH-LB,9682.1798,9397.5941,9087.5941,210,100,0,5861.6204,63613.1584,3.3174,3.5,9397.5941,0.9706,0,0,0.26490857,0.967012834,0.022346145,0.010641021,0,1.1826
20,5,2,18,LOCALSEARCH-HC,9682.1798,9397.5941,9087.5941,210,100,0,5861.6204,63613.1584,3.3174,3.5,9397.5941,0.9706,0,0,0.26400235,0.967012834,0.022346145,0.010641021,0,1.1826
20,5,2,18,LOCALSEARCH-BFSOPT,9682.1798,9397.5941,9087.5941,210,100,0,5861.6204,63613.1584,3.3174,3.5,9397.5941,0.9706,0,0,0.267853776,0.967012834,0.022346145,0.010641021,0,1.1826
20,5,2,19,GREEDY,8344.3483,6546.1586,6386.1586,60,100,0,3772.3145,44703.1101,1.3596,1,6546.1586,0.7845,0,0,0.215905765,0.975558185,0.009165681,0.015276135,0,0.6404
20,5,2,19,LOCALSEARCH-LB,7706.0315,7662.6936,7502.6936,60,100,0,5239.8199,52518.8553,1.4626,1,7662.6936,0.9944,0,0,0.24756133,0.979119614,0.007830145,0.013050241,0,0.5374
20,5,2,19,LOCALSEARCH-HC,7706.0315,7662.6936,7502.6936,60,100,0,5239.8199,52518.8553,1.4626,1,7662.6936,0.9944,0,0,0.249509828,0.979119614,0.007830145,0.013050241,0,0.5374
20,5,2,19,LOCALSEARCH-BFSOPT,7706.0315,7662.6936,7502.6936,60,100,0,5239.8199,52518.8553,1.4626,1,7662.6936,0.9944,0,0,0.249466601,0.979119614,0.007830145,0.013050241,0,0.5374
20,5,2,20,GREEDY,10803.1169,9426.3135,9146.3135,180,100,0,5401.182,64024.1942,3.2536,3,9426.3135,0.8726,0,0,0.215287361,0.970295917,0.019095482,0.010608601,0,0.7464
20,5,2,20,LOCALSEARCH-LB,10105.3569,9476.7422,9196.7422,180,100,0,5421.3535,64377.1952,3.2583,3,9476.7422,0.9378,0,0,0.380209952,0.970453982,0.018993869,0.010552149,0,0.7417
20,5,2,20,LOCALSEARCH-HC,10105.3569,9476.7422,9196.7422,180,100,0,5421.3535,64377.1952,3.2583,3,9476.7422,0.9378,0,0,0.32030329,0.970453982,0.018993869,0.010552149,0,0.7417
20,5,2,20,LOCALSEARCH-BFSOPT,10105.3569,9476.7422,9196.7422,180,100,0,5421.3535,64377.1952,3.2583,3,9476.7422,0.9378,0,0,0.383481741,0.970453982,0.018993869,0.010552149,0,0.7417
20,5,2,21,GREEDY,11213.9845,10443.329,10043.329,300,100,0,6908.517,70303.3027,4.0748,5,10443.329,0.9313,0,0,0.217766736,0.961698037,0.028726472,0.009575491,0,1.9252
20,5,2,21,LOCALSEARCH-LB,11153.9845,11014.7894,10624.7894,270,120,0,7137.1011,74373.5255,4.1285,4.5,11014.7894,0.9875,1,0.2,0.927160236,0.964593059,0.024512498,0.010894443,0,1.3715
20,5,2,21,LOCALSEARCH-HC,11153.9845,11014.7894,10624.7894,270,120,0,7137.1011,74373.5255,4.1285,4.5,11014.7894,0.9875,1,0.2,0.474511701,0.964593059,0.024512498,0.010894443,0,1.3715
20,5,2,21,LOCALSEARCH-BFSOPT,11153.9845,11014.7894,10624.7894,270,120,0,7137.1011,74373.5255,4.1285,4.5,11014.7894,0.9875,1,0.2,0.650337008,0.964593059,0.024512498,0.010894443,0,1.3715
20,5,2,22,GREEDY,9444.1744,9101.6287,8791.6287,210,100,0,5453.2753,61541.4009,3.4264,3.5,9101.6287,0.9637,0,0,0.216320986,0.965940162,0.023072794,0.010987045,0,1.0736
20,5,2,22,LOCALSEARCH-LB,9444.1744,9101.6287,8791.6287,210,100,0,5453.2753,61541.4009,3.4264,3.5,9101.6287,0.9637,0,0,0.257438306,0.965940162,0.023072794,0.010987045,0,1.0736
20,5,2,22,LOCALSEARCH-HC,9444.1744,9101.6287,8791.6287,210,100,0,5453.2753,61541.4009,3.4264,3.5,9101.6287,0.9637,0,0,0.255827862,0.965940162,0.023072794,0.010987045,0,1.0736
20,5,2,22,LOCALSEARCH-BFSOPT,9444.1744,9101.6287,8791.6287,210,100,0,5453.2753,61541.4009,3.4264,3.5,9101.6287,0.9637,0,0,0.25714505,0.965940162,0.023072794,0.010987045,0,1.0736
20,5,2,23,GREEDY,9011.8022,7041.3705,6851.3705,90,100,0,4248.1172,47959.5936,1.5456,1.5,7041.3705,0.7813,0,0,0.215332148,0.973016617,0.012781603,0.014201781,0,0.9544
20,5,2,23,LOCALSEARCH-LB,7956.3916,7803.8799,7583.8799,120,100,0,4858.1248,53087.1596,1.6132,2,7803.8799,0.9808,0,0,0.403305171,0.971808895,0.015376967,0.012814139,0,1.3868
20,5,2,23,LOCALSEARCH-HC,7956.3916,7803.8799,7583.8799,120,100,0,4858.1248,53087.1596,1.6132,2,7803.8799,0.9808,0,0,0.274453123,0.971808895,0.015376967,0.012814139,0,1.3868
20,5,2,23,LOCALSEARCH-BFSOPT,7956.3916,7803.8799,7583.8799,120,100,0,4858.1248,53087.1596,1.6132,2,7803.8799,0.9808,0,0,0.372388221,0.971808895,0.015376967,0.012814139,0,1.3868
20,5,2,24,GREEDY,11971.1039,8972.3857,8752.3857,120,100,0,5700.3418,61266.6999,2.4785,2,8972.3857,0.7495,0,0,0.216717302,0.975480323,0.013374369,0.011145308,0,0.5215
20,5,2,24,LOCALSEARCH-LB,10014.2861,9685.5688,9425.5688,120,140,0,5985.615,65978.9817,2.5454,2,9685.5688,0.9672,1,0.2,0.620486248,0.973155939,0.012389567,0.014454494,0,0.4546
20,5,2,24,LOCALSEARCH-HC,10014.2861,9685.5688,9425.5688,120,140,0,5985.615,65978.9817,2.5454,2,9685.5688,0.9672,1,0.2,0.312397505,0.973155939,0.012389567,0.014454494,0,0.4546
20,5,2,24,LOCALSEARCH-BFSOPT,10014.2861,9685.5688,9425.5688,120,140,0,5985.615,65978.9817,2.5454,2,9685.5688,0.9672,1,0.2,0.433093676,0.973155939,0.012389567,0.014454494,0,0.4546
20,5,2,25,GREEDY,14430.4541,12218.4024,11938.4024,180,100,0,7619.0416,83568.817,2.8306,3,12218.4024,0.8467,0,0,0.220307759,0.977083747,0.014731877,0.008184376,0,1.1694
20,5,2,25,LOCALSEARCH-LB,12573.0134,12509.3372,12209.3372,180,120,0,7802.3886,85465.3605,2.8556,3,12509.3372,0.9949,1,0.2,0.425585009,0.976017914,0.014389252,0.009592834,0,1.1444
20,5,2,25,LOCALSEARCH-HC,12573.0134,12509.3372,12209.3372,180,120,0,7802.3886,85465.3605,2.8556,3,12509.3372,0.9949,1,0.2,0.371422307,0.976017914,0.014389252,0.009592834,0,1.1444
20,5,2,25,LOCALSEARCH-BFSOPT,12573.0134,12509.3372,12209.3372,180,120,0,7802.3886,85465.3605,2.8556,3,12509.3372,0.9949,1,0.2,0.42878428,0.976017914,0.014389252,0.009592834,0,1.1444
20,5,2,26,GREEDY,11257.8499,10113.157,9863.157,150,100,0,6428.8412,69042.0992,2.4639,2.5,10113.157,0.8983,0,0,0.217400913,0.975279727,0.014832164,0.009888109,0,1.0361
20,5,2,26,LOCALSEARCH-LB,11257.8499,10113.157,9863.157,150,100,0,6428.8412,69042.0992,2.4639,2.5,10113.157,0.8983,0,0,0.253009067,0.975279727,0.014832164,0.009888109,0,1.0361
20,5,2,26,LOCALSEARCH-HC,11257.8499,10113.157,9863.157,150,100,0,6428.8412,69042.0992,2.4639,2.5,10113.157,0.8983,0,0,0.256280745,0.975279727,0.014832164,0.009888109,0,1.0361
20,5,2,26,LOCALSEARCH-BFSOPT,11257.8499,10113.157,9863.157,150,100,0,6428.8412,69042.0992,2.4639,2.5,10113.157,0.8983,0,0,0.254362522,0.975279727,0.014832164,0.009888109,0,1.0361
20,5,2,27,GREEDY,10230.0504,8734.7251,8424.7251,210,100,0,4982.0409,58973.0759,2.9802,3.5,8734.7251,0.8538,0,0,0.215259269,0.964509473,0.02404197,0.011448557,0,1.5198
20,5,2,27,LOCALSEARCH-LB,9455.8155,9039.8278,8709.8278,210,120,0,5104.0819,60968.7946,3.0218,3.5,9039.8278,0.956,1,0.2,0.282582332,0.96349488,0.023230531,0.013274589,0,1.4782
