nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
20,15,2,31,LOCALSEARCH-BFSOPT,29083.8638,28608.7535,27408.7535,900.0,300.0,-0.0, 13624.8398,191861.2743,11.7985,15.0,28608.7535,0.9837,0,0.0,3.2825776680000445
20,15,2,32,GREEDY,22588.1892,22424.9546,21554.9546,570.0,300.0,0.0, 10661.6033,150884.6822,7.2461,9.5,22424.9546,0.9928,0,0.0,1.7814770350000018
20,15,2,32,LOCALSEARCH-LB,22588.1892,22424.9546,21554.9546,570.0,300.0,0.0, 10661.6033,150884.6822,7.2461,9.5,22424.9546,0.9928,0,0.0,2.4592927799999984
20,15,2,32,LOCALSEARCH-HC,22588.1892,22424.9546,21554.9546,570.0,300.0,0.0, 10661.6033,150884.6822,7.2461,9.5,22424.9546,0.9928,0,0.0,2.4683864300000096
20,15,2,32,LOCALSEARCH-BFSOPT,22588.1892,22424.9546,21554.9546,570.0,300.0,0.0, 10661.6033,150884.6822,7.2461,9.5,22424.9546,0.9928,0,0.0,2.4356752300000153
20,15,2,33,GREEDY,25299.4073,23000.7714,22190.7714,510.0,300.0,0.0, 11489.9733,155335.3996,6.8569,8.5,23000.7714,0.9091,0,0.0,1.7632577520000012
20,15,2,33,LOCALSEARCH-LB,23246.0323,23000.7714,22190.7714,510.0,300.0,0.0, 11489.9733,155335.3996,6.8569,8.5,23000.7714,0.9894,0,0.0,10.019087102000015
20,15,2,33,LOCALSEARCH-HC,23246.0323,23000.7714,22190.7714,510.0,300.0,0.0, 11489.9733,155335.3996,6.8569,8.5,23000.7714,0.9894,0,0.0,3.4249214190000146
20,15,2,33,LOCALSEARCH-BFSOPT,23246.0323,23000.7714,22190.7714,510.0,300.0,0.0, 11489.9733,155335.3996,6.8569,8.5,23000.7714,0.9894,0,0.0,15.277061677999995
20,15,2,34,GREEDY,30675.1793,29868.2826,29058.2826,510.0,300.0,0.0, 13923.5235,203407.9783,7.2346,8.5,29868.2826,0.9737,0,0.0,1.774906737000002
20,15,2,34,LOCALSEARCH-LB,30303.6543,30044.006,29264.006,480.0,300.0,0.0, 14144.0475,204848.0419,7.2536,8.0,30044.006,0.9914,0,0.0,9.635093476000009
20,15,2,34,LOCALSEARCH-HC,30303.6543,30044.006,29264.006,480.0,300.0,0.0, 14144.0475,204848.0419,7.2536,8.0,30044.006,0.9914,0,0.0,4.723514499000004
20,15,2,34,LOCALSEARCH-BFSOPT,30303.6543,30044.006,29264.006,480.0,300.0,0.0, 14144.0475,204848.0419,7.2536,8.0,30044.006,0.9914,0,0.0,6.728030522999916
